Playing time;Date;Play;Author;Director;Music;Stage Design;Costumes;Choreographie;Local Note;Performance Note;Special Event;Role;Actor
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Demetrius, Liebhaber der Hermia;Q85310
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Egeus, Vater der Hermia;Q1372641
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Elfe;Q40047048
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Flaut, der Bälgenflicker;Q122463
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Helena, in Demetrius verliebt;Q40049176
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Hermia, Tochter des Egeus, in Lysander verliebt;Q19279093
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Hippolyta, Königin der Amazonen, mit Theseus verlobt;Q1672550
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Lysander, Liebhaber der Hermia;Q40038716
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Oberon, König der Elfen;Q124834
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Puck;Q45285548
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Schlucker, der Schneider;Q40036272
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Schnauz, der Kesselflicker;Q69382
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Schnock, der Schreiner;Q118900
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Squenz, der Zimmermann;Braun, Friedrich
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Theseus, Herzog von Athen;Q99529
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Titania, Königin der Elfen;Q115888
1946_1947;06/14/1947;Ein Sommernachtstraum;Q692;Q2034109;Q46096;Q124839;Q124839;Q40005084;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Zettel, der Weber;Q2571363
